emoji,hexcode,cleaned_description,cleaned_llm_description,openmoji_tags
#️⃣,0023-20e3,,,keycap
*️⃣,002a-20e3,,,keycap
-,002d,,,
0️⃣,0030-20e3,,,keycap
1️⃣,0031-20e3,,,keycap
2️⃣,0032-20e3,,,keycap
3️⃣,0033-20e3,,,keycap
4️⃣,0034-20e3,,,keycap
5️⃣,0035-20e3,,,keycap
6️⃣,0036-20e3,,,keycap
7️⃣,0037-20e3,,,keycap
8️⃣,0038-20e3,,,keycap
9️⃣,0039-20e3,,,keycap
©️,00a9,,,c
®️,00ae,,,r
🀄️,1f004,red dragon tile game japanese mahjong white red character printed,emoji represents red dragon tile mahjong popular chinese strategy game red dragon one powerful tile game symbolizing strength leadership,"game, mahjong, red"
🃏,1f0cf,joker deck card usually appearing like court jester,emoji represents joker card deck playing card often associated humor surprise unpredictability game conversation,"card, game, wildcard"
🄍,1f10d,,,
🄎,1f10e,,,
🄏,1f10f,,,
🄯,1f12f,,,
🅭,1f16d,,,
🅮,1f16e,,,
🅯,1f16f,,,
🅰️,1f170,symbol representing blood type displayed letter red background,,"a, a button (blood type), blood type"
🅱️,1f171,symbol representing blood type b displayed letter b red background sometimes used online replace letter c start word reference blood street gang practice turning word like cool bool,,"b, b button (blood type), blood type"
🅾️,1f17e,symbol representing blood type displayed letter red background samsungs design emoji previously included blue background instead red background,,"blood type, o, o button (blood type)"
🅿️,1f17f,,,"p, p button, parking"
🆎,1f18e,symbol representing blood type ab displayed letter ab red background samsungs design emoji previously included blue background instead red background,emoji represents ab blood type symbol often used medical context discussing blood transfusion compatibility,"ab, ab button (blood type), blood type"
🆑,1f191,cl show cl ear button older mobile phone,emoji represents call button often used telecommunication customer service initiate call request assistance,"cl, cl button"
🆒,1f192,word cool shown enclosed square generally display shade blue bluegray platform,emoji represents cool button often used express sense approval relaxation casualness conversation,"cool, cool button"
🆓,1f193,word free shown enclosed square,emoji represents free button often used indicate something available without cost charge promoting sense openness accessibility,"free, free button"
🆔,1f194,letter id square,emoji represents id button often used symbolize identification authentication personal information verification,"id, id button, identity"
🆕,1f195,word new shown enclosed square,emoji represents new button often used indicate introduction something fresh updated recently released,"new, new button"
🆖,1f196,letter ng shown enclosed square acronym word good origin ng refers blooper shown credit live television show japan known ng used field form shorthand good,emoji represents button often used digital interface indicate disapproval rejection negative response,"ng, ng button"
